cat	group_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3	rating1	rating2	rating3	rating4	rating5	rating6	rating7	rating8
cloth	B0040EIHQQ	This pendant is so unique!! The design is beautiful and the bail is a ring instead of the typical bail which gives it a nice touch!! All the corners are smooth and my daughter loves it - looks great on her.I cannot say anything about the chain because used our own chain.:) Satisfied.	It look perfect in a womens neck!! great gift, I thought for the price it was going to look cheap, but I was far wrong. It look great.Spect great reward from your woman when you give this to her; D	The prettiest sterling silver piece I own now. I get so many compliments on this necklace. I bought it for myself from my hubby for Valentine's Day. Why not? When people ask where I got it, I simply say from my loving hubby. And he is off the hook as to what to get me. win + win.	I love hearts and I love 'love':) I do not have any negative feedback, the necklace is perfect and the charm is perfect. I just thought it would have been slightly bigger. Overall, I love my new heart necklace.	When I received the package, I was surprised and amazed because the necklace is so elegant, beautiful and the same as the picture shown here. I really love this necklace. It has a unique pendant designed. I will recommend it to someone to order it now...	Item is nice. Not a great quality item, but right for the price. Charm was larger than I expected (I expected small and elegant, but it was large and almost costume jewelry like). I think it is a good necklace, just not what I expected.	I got this as a present for my GF on Valintines day. She loves it and wears it every day! Its not cheap looking and it hasn't broken yet. The chain hasn't broken either even though it is very thin. Strongly recomend it!	Over all service has been great the only problem, I ordered a purple Mickey Mouse case for iPhone 4S they sent a black, n I felt it was to much trouble n such a small item to send back so needless to say its put back in a drawer somewhere	This silver chain and pendant are elegant and unique. The necklace is very well made, making it a great buy for the cost, and is of high enough quality to be worn every day. The necklace looks beautiful when worn bringing many compliments. Overall, it is highly recommended.	This woman's necklace makes a great gift for any woman or child. The thin sterling silver chain looks elegant and the heart shaped pendant is beautiful and unique. The necklace fits comfortably around the neck and looks great when worn. It's a good quality item for the price which is highly recommended.	This necklace is attractive, unique, and looks nice considering the inexpensive price. It makes a nice Valentine's Day gift or a gift for a child. The chain is thin but durable and should last a long time. The pendant is interesting and something different as a gift for a loved one.	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0
cloth	B001QCZ3E4	This shoe is very classy and chic. The colour is rich and goes very well with almost any navy blue outfit. However, it fit me a bit snug to the front probably because my feet are a bit broader. And you do have to order the size a 1 / 2 inch bigger than you normally wear.	this shoe was picked by the 'bride to be' for her upcoming wedding this weekend. The other bridesmaids paid over $80.00 in a dept. store. I found my daughter 'bridesmaid' the exact same shoe for much less. The quality is the same. the brand is the same, the look is the same and it fits perfectly.	I love the look of these shoes and they will forever be special to me as I wore them at my wedding. Had a few cosmos right after our ceremony so did not notice any comfort issues throughout the night, but the next morning my feet felt like they had been pinched around the toe area.	These are VERY nice shoes and so pretty, but there is a rim inside the top of the shoes by my toes that rub them and could cause a blister or sore, so even though they are great to look at they are not that comfortable.	These shoes run 0.5 size small, I had to exchange and pay for return shipping. Order 0.5 size larger than you usually wear, and they won't hurt or give you blisters even around the toe. Remember - this is not natural leather, so don't hope to break in them. If you pick right size, they are very comfortable and cute.	I bought these in navy to wear in my sisters wedding. They matched my navy satin dress perfectly and were super comfortable. I wore these shoes longer than I have worn any heels. The lower heel gave me just enough height, but not to much to make me unsteady. Looking forward to wearing them again and again!	These shoes run appropriate to size (I'm a size 9), but I felt like they pinched my toes as I have a wider foot. The shorter heel is nice so you don't have to worry about tripping- but I sent them back as I didn't find them comfortable.	Great Fast Amazon shipping, and the show itself is a really nice bright yellow, perfect for that pop of color I was looking for. I'm five months pregnant and needed a comfortable shoe for a wedding and these completely fit the bill. I would buy again.	These shoes are best fit and nice looking for parties or specially for wedding functions. The toe of the show can be a challenge for some feet and may make the feet sore due to the rim to keep the shape perfect. Overall price wise and looks are great and would recommend for long term use.	These chic shoes have a short heel and are perfect for weddings. They can cause pinching and blisters, but that is easy to fix by purchasing a half size larger than normal. They come in a variety of rich colors. For the quality, the price can't be beat!	These women's dress shoes look nice and have vibrant colors. They have a lower heel, which gives more stability. However, they sometimes cause toe pinching and rubbing if worn to size, so ordering a half size larger may be required. These shoes are not recommended for wide feet for this reason.	4.0	5.0	4.0	3.0	4.0	5.0	3.0	5.0
cloth	B005BQ6YYO	Fit as expected. Have trouble with my feet: neuromas, plantar fasciitis, and bunion. Looking for comfortable cushioned for quick trips to run errands without putting on sneakers and sneakers. These work great for me but not for all day use.	The shoe is so comfortable and I bought another 'walking' shoe by Ahnu which is perfect too.Needed a cute and comfy shoe to do lots of walking in Europe this Spring. These will fit the bill.I found this style was a little big so I had to get a half size smaller and it is great.LO	Reviews said to buy a size smaller. I wear a 7 so ordered the 6.5. It was still too big, and I'm guessing a 6 would fit. I bought the Ahnu sandal at 6.5 and it fit perfectly. I plan to reorder the shoe but in a size 6.	I always take a 7 or 7.5, in fact own a pair of flipflops from this brand in a 7, decided to order 7.5 and it fits more like a 8.5 or even a 9. Way too large. Am returning & hope to replace with a smaller size.	I would recommend these shoes to anyone looking for a very comfortable walking shoe with some style. I can wear these instead of sneakers for less casual events. The shoes run big. I normally wear a 7 1 / 2, but ended up with the 7 which fit just right.	I ordered these shoes in a half size smaller than my regular size due to reviews that I read, but they were still too small. They were pretty shoes, so was very disappointed. The company was very good about refunding my money very quickly.	I don't believe these shoes will fit anyone who wears a narrow. If I order my true size, they're too short and my toes hit the front of the shoe yet if I order the next size up they're too wide yet my toes still hit in the same place. Both pairs went back -- bummer!	I am in and out of areas where the footing can be slippery. I wanted a cute but totally functional shoe and this is it. Incredibly lightweight! I bet I could run in these. Great all around casual working shoe.	"This is the perfect ""comfy shoe,"" great for walking around town or casual get togethers. Cute and functional!  They do run a bit big, plan to order them 1/2-1 size smaller than usual. Another very comfortable shoe by Ahnu, would definitely buy again!"	A comfortable, stylish, casual walking shoe. When doing a lot of walking this shoe is a great alternative to sneakers. However, the sizing is off. They run too large and too wide. Sizing down 1 or 2 sizes allows for a better fit. The company will replace or refund quickly due to sizing issues.	These are very comfortable, quality shoes that can be worn casually. They are functional and incredibly light-weight. However, the shoes tend to run a bit large. Overall, this quality product is recommended.	4.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0
cloth	B0052PKEYK	Although the quality of construction seems adequate, the sizing isn't accurate. I ordered a size 34 which is the size I normally wear and the suit not only pinches around my legs but also is almost uncomfortably tight around the waist.	The suit seemed ok in quality however it was the wrong size. It is always a gamble buying online even following the sizing chart. I did return it and got a refund but Amazon failed to fight for the sale and make it right. I went to a local store and purchased what I liked.	Fits well and has a nice draw string to keep them tight. I bought a size small so that I would not have to worry about them falling off but I should have bought my correct size as they fit true to size.	The only reason for the 1-star reduction, is the seams around the legs are pretty stiff and tight. However, the seams appear to be loosening up a bit though with use. I typically wear a size 32 but had to get a 34 for this suit.	The size on the waist was correct, but if you have large thighs like I do, or should I say muscular thighs, it will be a tight fit. It is very tight to get past my thighs, then it wasn't so bad. The waist was a 38, no problem there. It will be a tight fit on most guys.	I got this swimsuit a month ago. I swim 5 days a week for about an hour and 15 min. I washed the suit after every practice. It tookabout 2 weeks for a fabric to loose all elasticity. After two more weeks the suit basically fell apart. Avoid!	I wear a 32 and I read some of the reviews and yes it does have a nice feel and fit but does run small with that being said I ordered a 34 and it was a nice fit and feel but I think a 36 would have been a better fut	I haven't swam in it much yet but fit is good. I bought two different styles. Both were speedos. I am not a swimmer so this is a first purchase of speedos. Training for my 3rd marathon and wanted to add swimming as part of my workout.	The quality/construction seems to be decent.  However, the sizing can be problematic and isn't super accurate about the leg opening and waist.  Sizing up one, or even two sizes in some cases, might be a good idea, especially for muscular thighs.	The suit tends to run a bit small as the fitting in the waist was adequate but it was tight in the thighs. After heavy use the seams tend to loosen up and even loose the elasticity over time. Overall it's a nice suit, has a nice feel, and is nicely constructed.	The material used to make this product is of high quality. This is a very durable product that comes in various sizes and styles. The product can fit snugly around the body. It is important to go up one size to ensure proper fit. Overall, this product is highly recommended.	2.0	2.0	5.0	4.0	3.0	1.0	4.0	4.0
cloth	B0013EQ20Y	i really like these boots. they can be a beast to get on, like any boot fit to last; once on, they are incredibly comfortable. I have had them for 4 years and they still look great - worn in but not worn out...	What great boots! They do take some breaking in - like all real leather does. Run maybe a tad small in the general spectrum, but hey, remember the break in period. Look fabulous, will last me for the next twenty years.... They bridge the fashion vs. function quandary beautifully.	Every woman needs a pair of these Frye boots! Fit is true to normal size. I wear a standard 9. These fit in the shaft for any ladies who have bigger calves as I do. You have to fight to get them on first few times and they wear stiff until fully broken in. Worth the money and break in time.	Boots excellent quality, beautiful skin, a modern model. But! they are very narrow! This is the second pair of shoes is a brand and my 8.5 size fits me perfectly, even he little more than usual. But these are very narrow! go to a cobbler, let him try to stretch. Be careful!	bought these for the wife to have something to kick around in and keep up with the kids, but she doesn't like them. Her heel lifts with every step, and they're stiff and heavy. Not an everyday casual shoe.	Don't get me wrong, they're really good boots, but they used to make them better. My last pair from a few years ago were much higher quality. Thicker sole, better full grain leather, now they only make the black in 'grease', which stains all my socks black. Keeping them, but still disappointed in Frye.	i bought it just for the heavy snow cuz my UGG got wet through.even though it is a little expensive, but the boots are nice and it was shipped to me for only two days.!!!!!! i love it	They were comfortable the moment I put them on. The sizes are exact. The color the way they are made are what I expect from Frye which I've been wearing since the 70's. With a 20year break from not wearing Frye it was a pleasant surprise the quality has stood the test of time.	These boots look amazing and are made of great quality leather that lasts for many years without looking worn out. They can be a bit stiff until they're  broken in but once they have they're extremely comfortable. They are however tough to put on and the fit is a little narrow.	This is a great pair of durable leather boots. They are high quality, good looking and rugged. These leather boots will last for years. They can be stiff in the beginning but will loosen up once they are broken in. These are a great looking pair of boots that are highly recommended.	These Frye boots are sturdy, heavy boots appropriate for snow. As real leather boots, they may feel stiff at first and require a break-in period before they are fully comfortable. Once broken in, they should last a long time, as Frye has a long history of making these durable boots.	4.0	5.0	5.0	4.0	2.0	3.0	5.0	5.0
cloth	B006QM4HOG	I really appreciate the method of safety built into this bag. But, it is so large that by the time you put all of your stuff in it, it is hard to carry. Certainly could not carry as a cross bag easily. If someone jerked the bag, it is so big and strong, the person might jerk me down to ground!	it is light weight and has many compartments. I wish it was just a little larger. There is a 400 item which is too big-rhis is a 200 item which is fulls up fast; therefore; I would like to see the company make a 300 series.	I love this bag although I would have preferred it to be a litle smaller. It is light enough that I can carry my camera, camera accessories, as well as all my normal purse items including my Kindle. I love this particular shade of blue. It goes well with most everything I wear. I also appreciate the pockets for separating things.	Took this bag on a recent trip to Europe and it was great. No worrying about theft and it is filled with pockets to accomodate all things that you need to take for a day trip. The two outside pockets were great to hold a water bottle or umbrella.	I checked this on two different monitors before I ordered. Both looked more rose color. It's very much a dark purple. Which I'll live with since it is for travel, and didn't care about it being subtle it's very large, we'll see how well it hold up	Wish it came in colors but other than its drab appearance it is an AMAZING bag. I couldn't believe how much stuff I got in there on a recent trip. Comfortable to wear with handy pockets and clips in all the right places. Love this bag.	I used this for the first time last week on a trip to Maine. We normally drive so I was worried about carrying things on the plane. This handled my camera, binoculars, medicines, treats, glasses and cosmetic case along with two paperback books and three drinking cups. I love it!	This is the purse for all to have when you have children or you need to have it while traveling on trips! Seriously, great purse and yes, I paid a little bit more for the mauve as I was tired of black. I just love my purse!	This is a durable high quality bag. It's large enough to carry many items and has versatile pockets, both inside and outside. It's a great bag for traveling and can easily hold a full days worth of items. The bag is lightweight and comfortable to carry. This bag is highly recommended.	This bag is large and can hold many items easily. The bag has various compartments which help to keep items organized. It is useful when traveling as it can be worn across the body for safety. It is offered in a variety of colors and is highly recommended when a large bag is needed.	This purse/bag has plenty of pockets to carry a lot of items. It is recommended for carrying a lot of things on a trip or for using with children. In fact, the bag may be considered too big for general carrying by some.The colors are fine, but not spectacular.	3.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0
cloth	B005DO7R3G	I usually wear size 37, but found a 38 feels better in this sandal. I absolutely love this sandal. So supportive and comfortable, although at first I did get a blister on my big toe. Do not let this be the deciding factor. It stretched out and is now fabulous. I love it so much that I bought it in three colors.	This is a really cute shoe that feels very comfortable on my high arches. The strap on the instep fits my feet very well, but I have very slim feet. I can see how it would be uncomfortably tight on anyone with more padding on their feet.	I love these sandals. The fit is perfect for my foot, with perfect arch support. I don't think the leather is cheap, and the sandals are very comfortable to walk in. They are very pretty, and pair very well with pants and dresses.	My wife is a nurse and wears dansko shoes. We were excited to try the new crimson sandal and normally order 39 sandal and 40 closed toe. Some other reviews were right about a narrow width and tight toe box. We gave them a try and passed a great pair of shoes to our daughter with her long narrow feet, and she loves them...	Finally, a Dansko sandal that's fashion forward! It was love at first sight! This is my 4th Dansko purchase. Their sizing, quality and comfort is very consistent. I love the stying of this sandal and I'm pleased they are offering bolder colors. Another feature I love is the Dri-Lex topsole - it's soft and keeps feet dry.	I really love these sandals. my only issue is after wearing them for a while my feet started to swell as I have a high instep and they were a little tight across the top. I'm sure they will stretch a bit after a few wears	I have several pairs of Dansko clogs that are all size 39 and fit perfectly. So I felt confident when I ordered the Tasha Sandal in size 39. I don't know if a 40 would be too large but the 39 seems a little small. Otherwise, I love them. They are very cushiony and comfortable!	I own many Dansko shoes and these are among my favorites. They have ALL the support that Dansko offers in its shoes plus they are very attractive. I love the the heel height and instant comfort. They look great with slacks and dresses, dressed up or not...	The Dansko sandals are very comfortable and provide great support for the feet. They look great, fit the latest fashions and the sizing is consistent throughout the Dansko brand. These sandals may be uncomfortable for those with a wider foot but they fit narrow feet well. Overall, a high quality sandal which is highly recommended.	These Dansko sandals are attractive and high quality. This sandal runs a size small and has a tight toebox. The toebox stretches after using it and then is very comfortable. The sandal is most comfortable for narrow feet. The heel height is great and they look nice with casual and dressy outfits.	This company has created many different styles of shoes from clogs, to sandals. The clogs can often run large and have a narrow fit but will stretch out with consistent use, and are very comfortable. The sandals are fashionable and comfortable but may also require some breaking in to get them to fit just right. Both styles of shoes offer great support, and quality in design.	5.0	4.0	5.0	3.0	5.0	4.0	5.0	5.0
electronics	B003YJ5LLM	Love the design of this sleeve. When I don't have a table I use the sleeve as a mat to protect my thighs from the heat of my laptop. Wish it had a bit more padding and cushion but other than that it's a pretty carrying sleeve.	This was bought for our teen daughter for Christmas, the only negative things about it are 1.no strap 2.no pockets, other than that it is great, but in all fairness i knew both things about it when ordered, it came in very fast, was just as described, great item for the price.	This case fits perfectly on my 14inch hp. I disagree with the comments that talk about the smell being terrible. The smell really wasn't that strong and went away after a couple of weeks. I love the design and it was a fair price. Shipping was a little expensive though. It arrived quickly and I would buy from this seller again.	I really enjoy the design of this case but I thought it would be lighter. When it came, it was a very dark grey which was a bummer. But the quality is good and it has a nice thick padding to protect my laptop.	I like this case very much! It fits my Acer Aspire 14 'as a glove!!! Yes, it smells a little bit but I wouldn't say that it's so bad as mentioned in some reviews. And it's very cute too. I recommend this product to anyone.	I BOUGHT IT FOR MY ACER 14 ', IT IS A LITTLE BIT TIGHT, BUT THE WORST WAS IT HAS HEAVY RUBBER SMELL, WHEN I LEAVE THE CASE IN MY ROOM, THE RUBBER SMELL WAS FILLED WITH THE AIR EVERYWHERE OF MY ROOM, MADE ME SICK. DON'T BUY IT.	I have a dell inspiron 14, and the cover is a little snug. It's working well though and now I can carry my laptop in my school backpack rather than carry a separate laptop bag. I'd recommend this product, just do a bunch of research to make sure it will fit.	I really love it! It doesn't smell a lot as some reviews say and the draw is well defined.I bought this size for a 13.3 'because my laptop will have a cover on it so I don't know how it fits for a traditional 14 inch,	This laptop case has a nice, attractive design and fits laptops with up to a 14-inch display well. It doesn't have a strap or pockets, so it may be better suited for protecting the device while inside another bag rather than carrying it around on its own. It can have a slight rubber smell.	This well-designed case fits a variety of 14" laptops, but measurements should be made to make sure this is the right size. It may have a rubbery smell initially, but the smell goes away with time. Shipping is fast and reliable. Overall, this case is highly recommended at this price.	This laptop sleeve is good quality and it fits a 14 inch laptop nicely. It can have a strong rubber smell initially, but with time the smell should fade. The sleeve provides great protection from scratches and looks great. It is a good value and is recommended for laptop protection.	4.0	5.0	5.0	3.0	4.0	1.0	4.0	5.0
electronics	B003U8K0N6	This power supply gets the job done but I am concerned about how hot the charger gets after a few hours. I attached a cooling device to the power supply and has controlled the heat. Buy this with caution and monitor the temperature of the power supply.	This charger ruined my laptop. I did not have any problems with my 5month old lap top until i used this charger. Buy this from the manufacture and you will be better off. Go to ACER and bet it from them.	My charger gets hot very quick. The one pictured is not the on received. The prong fits loose in the laptop. The one pictured showed a grounded plug with an OEM Brick. The one received has a 2 prong plug and has a sticker on it stating, replacement AC Adapter, Made in China.It would be nice if the pictures represent the real items.	I recently purchased this power supply and cord to replace the OEM that stopped working. I've had it approximately 1 month and works perfectly. The cord is a little shorter than the original but that isn't much of an issue for me. I would recommend this product.	I bought this for my aspire 5532. It worked for about a week and now it won't charge at all. The fit was never snug from the start, but I was hopeful. I guess you get what you pay for. Buyer beware!	The charger arrived here very quickly! I am very thankful for that because I have online classes to work on for school. The only thing is the cord has to be placed a specific way or it will not charge so that is difficult.	Purchased the product for the corresponding laptop. The adapter made so much noise that I could not charge the computer in the office. After writing the company they took appx 5 days to get back to me and suggested that I send the product back on my dime to fix the problem. Poor product, bad customer service, I do not recommend.	I ordered this for my Acer 5532. It heats up right away and I only use it to charge the laptop, it isn't plugged in for very long. After only 2 weeks it MELTED! This is horrible and dangerous!	The charger gets very hot with use, which can be quite concerning. The fit into the laptop is often loose, which makes it unreliable. Some items delivered didn't resemble the photo online. Overall, it would be best to avoid this product and buy direct from the manufacturer.	This charger gets very hot very fast and it seems a bit dangerous. It has to be lined up a certain way to work. The charger makes a bit of noise. Customer service was not helpful. A cooling device may help with the heat but this product should be used with caution. It is an affordable option.	This Chinese manufactured charger is prone to overheating and may not provide a charge at all depending on what it is connected to and how it is positioned. There have also been complaints about noise while in use and poor customer service from the manufacturer, but apparently the shipping speed is to be admired.	3.0	1.0	2.0	5.0	1.0	3.0	1.0	1.0
electronics	B0051PJHDK	Very disappointing product...... bought it as a present and was not working.We returned it 3 times and they don't want to give you a refund. They only try you to upgrade to their newer version. Customer service is a joke. Pay $50 more for a better tablet it will save you a lot of headache.	I purchased one of these units 2 weeks ago, alas it has to be returned as the battery is defective. I purchased from Abe, s Of Maine thru Amazon and the customer service was top notch except i have to pay shipping to return it but that, s better than a $154 paperweight.	I got this tablet as a free gift, but didn't think it was this cheap! I got the tablet and had it for about 1 month. My kids used it to play games which seemed to work fine until one day about a month after having it would no longer power up. What do I do? It seems like such a waste.	Received tablet 6 days after order was made and worked fine till Tuesday Nov.15th at which time it stopped holding a charge. Worked fine when connected to power but shutdown when power was disconnected. Come on, it should last longer than 30 days. Paid $150 + for a product only lasting alittle more than 30 days.	7 'Skytex Skypad Alpha. Charging is hit or miss but mostly miss. It would have been OK if not for the charging issue. I e-mailed tech support for a charger replacement but no response from them. Hacked Netflix was working but not anymore after Netflix upgraded their system. Netflix issue is notSkytex 'fault.	This product is not worth buying. I bought 2 as Christmas gifts directly from the company. 1 doesn't work properly and the other is just junky. I tried to return the product but they are unwilling to take it back. Waste of your money!	Bought this one for my dad as a gift. Thought he would like it being that it was a tablet... just avoid the discount models, go with one you know they will like. Maybe a good fit for someone who doesn't know much about electronics.	The tablet is not the best in the world but for $150 its a good deal. I do feel bad for anyone that paid $400 + for it because its not worth anywhere near that. Id recommend it to anyone looking for a cheap tab	This tablet has numerous reliability issues. The likelihood of it malfunctioning after a month or less of normal usage is high, assuming it's not dead on arrival. Even considering the cheap price, it's still not worth the money.	Buying it at MSRP is ridiculous and in fairness, buying it at a discount presents a huge risk as well. The charging is spotty at best and the battery itself presents a lot of risks. Avoid it until they start caring about the quality.	This is a very cheaply made tablet. If the user didn't know much about electronics, it may be satisfactory, but it is still a mediocre product. Many defects with batteries have been noted, including failing to hold a charge and not powering up. Customer service is not responsive to questions or return requests. This tablet is not recommended.	1.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0
