cat	group_id	rev1	rev2	rev3	rev4	rev5	rev6	rev7	rev8	summ1	summ2	summ3
business	1zYltl3s23LN7lxdqM5qmg	They mess up your order and make you wait 15 min literally I'm not over exaggerating 15 min then when you go into get your money back mind you I didn't ask to keep the food I just wanted my money they don't refund save yourself the money don't go to this KFC.	We had takeout from KFC tonight. Horrible - chicken greasy and cold. For what you pay it is a rip off! The original recipe use to be good - what happened - Colonel Sanders must be rolling over in his grave.	Usually they screw up the order and then give attitude when you ask them to fix it. We are in the building right now and it's cooler outside, no A / C, freakin hot. Don't seem like they care, not site we'll be back to this one	Zero star all the way. I don't like kfc anymore and went vegetarian after going to this chain. Chicken doesn't taste as good like 20 or so years ago, the management doesn't believe in good quality and even good service. I rather go to Popeyes and not waste my money to this chain.	We have been moving all week and the KFC was right bear the new house do we thought sure it would be easy and good. Boy were we wrong. The food was terrible. My green beans were sour rotten and my sons strips tasted like they had a chemical in them. Not good. Very disappointing	Stop. Just go to Frys and purchase their chicken. You are making a mistake eating here. This location is super slow. Never trust a restaurant that cannot turn over food via consumption quickly. Last amount of advice... go elsewhere.	Over priced chicken that is just ok I remember when the cornel owned KFC back in the late 50s and 60s it was so much better than now. The chicken pieces look like they came from a pigeon they were so small! Go to Albertsons about a mile away 8 large pieces $6.99	Stop by for a chicken little. Boy was it little. More like a very expensive bun with mayo. No quality controls, the cook couldn't even fix it correctly. Probably a one off, but definitely not up to any standards.	The chicken is terrible and so is the rest of the food. The servings are also incredibly small. The food is not worth the money. Also, the cooks are slow so expect to wait a long time on line. The manager does nothing to resolve these issues.	Horrible experience, the chicken was cold, greasy and so small, like they are from a pigeon. . It's not in anyway up to standard. The food was horrible. The  green beans were rotten, sour and the strips tasted like there was chemical in them, very disappointing. The management does not believe in good quality and service.	This formerly great chicken chain restaurant has gone sharply downhill. Their recipe has changed for the worse, resulting in overpriced chicken that is greasy and tastes like chemicals. On top of that, portion sizes are small, wait times are long and the customer service is unfulfilling. Overall, the price-value ratio is very low, so this restaurant is not recommended.
business	24YIAXzArY1w2GXzoUbcmw	First time here and was very pleasantly surprised. Lo mein & shrimp pad Thai were delicious. Not overly saucy, salty, or greasy like some Chinese can be. Very fresh ingredients. Friendly & fast service & prices are great!	This place was super quick to have our order ready for carry out and was pretty tasty, especially for the great price! I didn't particularly love how many veggies were thrown in with their Beijing beef (it was almost hard to find the bits of beef in the mixture), but the beef itself was very flavorful and I LOVED their potstickers!	I went to this place when it was still Feedbag and then turned into Wok In. I'm generous with the ratings, because the price is very good, the staff is friendly and attentive, and they have the best Vietnamese fresh spring roll. Just love it!! That, and also spicy long beans with shrimp (and / or tofu).	We were Antique shopping and Yelp'd this location, so we decided to try it out. We will definitely be back! The prices were very inexpensive and the meals were delicious. We had Spring Rolls, Pot Stickers, Orange Chicken and the Pho. Everything was delicious!	For $5 an entree this place can't be beat. Good food, friendly and fast service. I had the spicy Thai noodles and they're just as good as anything you'd pay for at another competing restaurant. Great place for a cheap, friendly, low pressure meal of good quality	We decided to give this place a try based on prior reviews. The first thing we noticed upon arrival in the parking lot was a horrible smell of rotten food coming from the dumpster area. Prices are low and the staff is pleasant. The menu is limited. Crab angels were well flavored but cold. Orange chicken was overpoweringly citrusy. Vegetable lomein was unremarkable.	My husband and I love this place! We especially love to come when we are super hungry because there's never a wait! The service is great and the food comes out very fast. We always get the pho and love it!	Talk about a restaurant that has quality fresh food at a fantastic price! I have been here twice and would highly recommend it! The restaurant is clean and the staff provide superior customer service! A wonderful environment for a couple or even a family. I will be visiting again when I'm back in the Mesa area! Thank you for such a wonderful experience!	This restaurant provides average quality food at very low prices.  The restaurant is clean and the staff is always friendly. The service is reliable and the food comes out fast as there is rarely a crowd.	This place offers incredibly low priced food for the quality they provide. Service is friendly and also very fast to get the food out.  Food is good, especially considering the price, in particular the spring rolls and pot stickers are recommended. Overall this place is highly recommended.	Good restaurant with good food at very affordable prices. Nice place for couples or families. Staff is efficient and friendly and provides great customer service. Environment is just average. Overall good price/value ratio hence recommended.
business	2P7PjL-tJAtMtWSz6VN_Pg	Bowling is great here but the best part is the Bar the last 2 years Garret always remembers us. He takes great care of all customers makes us laugh. It's great to have someone who knows what he is doing. Thank you Garret for making us want to come back even if we aren't bowling.	Great bowling alley located at Orleans casino. Been dozens of times, always happy. Everything you'd hope for a bowling alley. Clean, nice staff, open 24 hours, good prices, snack bar, nice lounge with drinks, several bathrooms that are usually clean, lockers to use. Good times. I'll be back.	Lots of lanes. Clean. Easy to access bar, and tables and slots downstairs in case you're still fighting the urge to gamble a little. This place rocks! And it's a great step away from the regular lounges and nightclubs. $1 games on week nights from midnight-6am. With $3 shoe rentals. Including Sundays.	We came origianally for the buffet and realized that the casino had a bowling alley. We decided to take our 3 kids upstairs and do some bowling. It was $26 for 4 of us for one game (residents get a little discount when you show ID). It was pretty clean and we really liked it. Will be visiting again for some more fun	This is probably one of the biggest bowling alleys that I've ever bowled at and I absolutely love that it's 24 hours! The service is very fast and there's hardly ever a wait. Thumbs up to the alley, the food and the workers as well!	For a bowling alley it's pretty much perfect. After midnight it's only $1 a game, although shoes were fairly expensive at around $5 (can't remember exactly). A decent amount of drink specials along with no real complaints make this place probably the best bowling alley I've been to in Vegas.	A clean bowling alley with lots of lanes. Stay in the hotel and receive a 2 for 1 game coupon. It's a nice option to have when you've lost all your money downstairs or need a break from all the winning you're doing. There's also a small arcade attached and a snack bar for your noshing pleasure.	$1 bowling at midnight can't go wrong also a lot of lanes. Also if you wanna take a break from bowling and not go down stair to the casino u can get a beer for a $1 at the bar. If ur a bad bowler like me blame it on the beer.	This is a great bowling alley. There are a lot of lanes, and it is clean. It is open 24 hours, and after midnight games are only $1 each. The snack and drink bar has a lot of specials, as well. This bowling alley is highly recommended for those that are tired of gambling in the casino below.	Great place, great services. Customers are always satisfied with the bowling alley which is one of the best. The bar is also topnotch and offer great customer service, and age verification.	This bowling alley is clean and offers tons of lanes. There are always game coupons floating around and after midnight games are $1 a piece, making it a super budget-friendly venue. Shoes are a bit expensive to rent though. It's open 24 hours, too. In addition to the bowling alley, there's a small casino downstairs and an attached arcade. The venue also offers a snack bar, lockers, clean restrooms, and a small bar with beer and minimal alcohol options.
business	3BWt6MX0KicK5YgV_6iJYg	Coffee is usually good, today they had to finish brewing the decaf. I waited and what did I end up with, a cup full of coffee grounds. Had to spit out most of the cup of coffee.Guess I need to bring my own filter when I visit this Starbucks. Very disappointed.	I just went thru the drive thru, and the coffee was extremely cold. The guy at the window didn't seem to be coherent! I am paying $7 for a cold cup of coffee?? This isn't the first time my coffee is cold.	This location has pretty much gone down hill through the years in terms of service. The baristas seem like they don't want to be there and who ever is stationed at the register in the morning acts like its a burden that you're ordering coffee so early. Weird.	I come here everyday. The baristas are all very friendly and always recognize us when we walk in. The manager John is very nice. They always have our mobile orders ready when we walk in. Never had an issue here. Will continue to come back!	Great place to stop by first thing in the morning. There's an Asian chick that works there who's the bomb! It's nice to have someone recognize you and start making your drink as soon as you walk through the front door! Definitely one of my favorite spots.	Terrible service! I came in to get iced coffee.. Sat outside and came back for my refill and they said 'no.. Can't do it if you leave the store!' Wow... I love Starbucks and never had an issue like this before. Not ever coming back to this location ever!!!!	Worst cappuccino ever. Burnt flavor and they made it twice. Way to throw $4 down the toilet. If they can't train people to do it right then don't waste your time. McDonald's coffee is better then this.	Excellent coffee and seating areas. I like it when seating areas take up more space than stupid retail. Who's thinking of buying an espresso machine early in the morning. Let me drink my coffee and hop on the wifi. I'm here every week so, no complaints and my order is always exactly how I like it.	This Starbucks location is overall not well recommended. While regulars seem to get good service and like the coffee, overall the service seems to be not very good, with baristas who are sometimes indifferent or incompetent. The coffee is pretty expensive, and sometimes is served cold, burned or otherwise not done well. Most will find better coffee elsewhere.	The place used to be good, but now they have bad customer service and not so great coffee. Customers are getting cold and burnt coffee.	This is a great place to stop by in the morning. Services are top notch. Baristas are friendly, they take orders and start making drink as soon as possible. The seating areas are great and the coffee is excellent.
business	3CG7oBD_k85M8jJ_JlhL-A	Just OK in my book. I've had better burgers in Charlotte. The sweet potato fries were very good. The regular fries were fine - but the portion was pretty small. The service was efficient - no complaints.Never been there in the past, so I don't have an opinion on the old management / new management debate.	A quick, simple math equation to describe my feelings toward the Penguin: Pixies + Frank Sinatra + cheap, delicious burgers = my kinda placeI'd even say it's a good alternative for a weekend spot, as it's open late, has a full bar and just a fun atomosphere.	The Penguin has the best burgers in town! I usually get mine 'southern style'. It's a small place, so there's usually a wait. But, I don't mind waiting because the food is soo good! They have a nice bar selection as well. It's also in a cool, eclectic area in Charlotte.	First of all, burgers have buns, not toasted white bread. 2 out of 4 orders were wrong toppings. No refills on drinks, never once asked how the food was, and it took 45 minutes to get us 4 orders. What the hell has this place become?	The food is really really good and is not very expensive. I love hush puppies and they were probably the best I have ever had. The burgers and sandwiches are all really good and the service is fantastic. The only problem is that the place is small and the wait is usually long.	Used to love this place but it has gone to s * * t. The food isn't the same and neither is the atmosphere. My friend got food poisoning from a chicken sandwich he ate here and it messed him up for three days. Save your self a bad meal and walk around the corner. Its no longer the charlotte staple it once was	Any place that serves Corn Dogs and Banana Pudding is always a winner for me. Has one of the best Juke Boxes in the city. I have never had a bad experience here. Watch out for Friday and Saturday evenings because it gets busy fast.	The burger was really good and the fried pickles were awsome. Although the wait staff was very friendly, we waited a really long time for our food! Looked like there were alot of other people waiting too. If the food had come in a more timely manner I would have said 5 stars.	The restaurant has recently gotten new management, which may or may not change the restaurant's character. The food is generally well-liked. The atmosphere is unique. The main issue is that it is small, therefore wait times are long. It is recommended if the wait time is not an issue.	Gets busy and is small, so waiting is common, especially on weekends. Food isn't the best, but the burgers are decent and the prices are low. Portions aren't large but there is a good bar selection and the atmosphere can be jumpy with the juke box going.	Enjoyed the cleanliness of this place. The staff was very nice and professional. Burgers were nice but nothing to write home about. It can get busy quick so expect long wait times. The beer selection and bar are top notch. Overall, a great concept with a local flare.
business	3JTGnElYrZvul4Q-aUIx9Q	Decent food - my daughter had the Avocado Toast and I had the Frittata Rustica - both top notch. Downside was the terrible coffee (so weak) and the annoyingly loud music being piped into the speaker directly above our table. Would come back for the food, but next time grab a coffee for the Starbucks a couple of doors down	NOT dog friendly! Just opened, absolutely no other customers, but wouldn't let me be at an outside, sidewalk table with my 4lb purse pup. The tables are on a public sidewalk of a strip center. If you have a dog, go to the Hilton, right next door. They sat me at a lovely table near the pool.	Great healthy food and even better service. I was in town for the weekend and LOVED this place. I liked it so much that I ordered a sandwich and salad to go for my lunch. The pic is my breakfast of protein packed mini pancakes with almond butter. Yum yum yummmm	1st time here today for a breakfast meeting. I ordered the power bowl. When the waiter brought out our food me messed my order up. He quickly apologized and ran my correct order out FAST. Upon getting the bill he comp'd my whole meal! Wow i was so surprised and he went above and beyond! The quinoa bowl was amazing also!	Went here for breakfast. Had the American breakfast. It was good. Turkey sausage was good. Someone got the pancake and it was huge. They said it was good. Someone else got the waffle, said it was good. Someone also got the avocado toast and said it was really good. Service was great.	Came here for a business breakfast. Nice, open environment with fast, friendly service. I ordered the Farmhouse Skillet and it was delicious. I wouldn't go out of my way to come here, but will definitely stop in if in the area and would have other business meetings here.	Great food! So healthy they have choices of all sausage which I love! I had the breakfast tacos and banana granola pancakes so amazing! I would definitely return to try more on the menu! Wanted to try everything!! My boyfriend got a morning juice and he loved it! Felt so cleansed. Staff was nice and gave you your space!	Ask for Carlos. He was awesome. The pumpkin pancakes were terrific. I had had a bad experience last time and I told Carlos and he made it great. And did I mention the pumpkin pancakes? I almost didn't come back but so glad I did.	They offer a variety of great foods on their menu. They focus on breakfast, sausage and a variety of flavorful pancakes are among their top hits, but also offer foods for other times of the day.  Some of their waitstaff can be a bit lacking at times and make mistakes, but they will go out of their way to correct things to please the customer if mistakes are brought to their attention. They are also a good location to hold business meetings.  Overall this restaurant is highly recommended.	Although this is not specifically a breakfast restaurant, it is the meal most catered to and the time the venue is busiest. The pumpkin pancakes, avocado toast, and turkey sausage are all exceptional. There are a variety of salads and sandwiches for lunch, too. The staff is friendly and attentive without being intrusive. On the downside, the coffee is surprisingly bad, especially for being a venue that caters to breakfast. Also, there are some outdoor tables available, but they aren't dog-friendly.	A great place for delicious and healthy food and remarkably excellent service in terms of speed and courtesy. Worthy of mention are the generous pancakes and a comprehensive menu of sausages. Dogs might be a bit of an issue, though. Nice place, recommended for breakfast.
business	4LPrdCK0L7GFF6vLP5cGTw	Food was average however, I felt it was super overpriced and small portions. I got a regular size and a large size and they are in the same containers with the same portions. I got double protein and it didn't even seem like it. Would not return.	The freshest, tastiest, and healthiest salads, sushi, vegetable bowls, and soups I've tasted. Did I mention their wide selection of teas and other refreshing drinks? The restaurant is clean, bright, and well managed by cordial staff headed by always cheerful manager Louis. I highly recommend Tokyo Joe's!	First time here and I was super happy about the food. Everything tastes fresh. The only thing I would have liked to seen more of is the chicken that goes in the 'make it yourself bowl'. Next time I'll just order extra chicken to it. Other than that I will be definitely coming back!	Discovered this extraordinary sushi gem while on a business trip to Phoeni. Albeit hidden near Nordstrom s Rack yet well worth the hint. Friendly staff. High quality sushi. Reasonable serving sizes. Highly recommend. You won't be disappointed. Enjoy.	Food-born illness? Gee, thanks so much. Just want I wanted. As if hearing the chef (and also possibly manager?) talk down to his employees right in front of customers repeatedly wasn't enough to make me uncomfortable as a patron, imagine how I'm feeling hunched over my toilet here at 5: 00 am right now.	The poke bowls are great! I get the grilled shrimp over mixed greens with mango, edamame and avocado. Hawaiian dressing. Garnished with sushi ginger, red pepper flakes and green onions. Easy to get to, solid service, great iced tea. It's a lunchtime staple	Ate here tonight at 7 and the girl making sushi was great with helping me out. There was a mix up with the rolls ordered and she corrected my roll right away and got my roomie his correct roll also. She knows amazing customer service! Sad I didn't get her name.	Ramen soup had no flavor, noodles were not ramen but overcooked spaghetti, barely any bean sprouts and too many watercress... could of spent a lot less if I cooked my own ramen at home.... unfortunately will not be back to give other dishes a try.	This sushi restaurant serves high quality sushi and poke bowls, though their other dishes can be hit or miss. The staff are friendly and experienced. The serving sizes vary by dish, but are generally considered to be reasonable for the cost.	This is a fine Asian restaurant. Sushi is fresh. The poke bowl is personalized and there are plenty of options to combine to make it. The staff is hospitable and quick to help the customer. The food can sometimes be less than stellar. Overall, the restaurant is very well recommended.	The food can be a tad pricey but is usually worth the cost. Wide variety of menu items with great food quality. The staff does a great job and management is always helpful, though can be rude to employees sometimes.Overall, it can be expensive but is highly recommended for it's delicious food.
business	4jWZByIPL_S-UFczMuD3yw	Cutest bakery around Tempe area. Food was awesome. We had the loaded waffles and bacon & blue galette. Warm atmosphere. A few tables inside and out. Chess board to play while you drink coffee or eat. Definitely coming back.	I've only been once and had a delicious little tart! The crust tasted like it'd been frozen, which is a pet-peeve for me, otherwise it would have been 5 stars. Service was also very personable. I'll definitely be back!	Stopped in today to pick up some bakery items for one of my clients. The owners of the bakery are very accommodating and very friendly. The cinnamon roll I had was fantastic I will be back. Our little bakery gem in Tempe	Yes--the sandwich was yummy for my tummy!! I ordered the shredded chicken sandwich with sweetest season chips and iced chai latte for lunch. It was all most. I had this delivered to my house cause I worked from home and this was the best lunch ever.	I love this little bakery in Tempe! Fantastic breakfast menu and I can't wait to go back for lunch! I love their savory pastries! Also their chocolate espresso cake is unbelievably fantastic... with a cup of coffee... heavenly!!!	They just upped the prices on the loaded waffles from I believe $7 to $9.50. Disappointed in the price jump I liked that it was a fast place to get a good waffle but at that price I might as well save my self for a sit down restaurant. It was good but sorry to say I won't be visiting any longer...	I'm so happy I found this place. Amazing is an understatement. The food is really good, the pastries are even better, and the staff is incredibly nice and helpful.The egg, cheese, and bacon sandwich with waffle bread is my favorite. I really like the cream puff and bread pudding too. Pretty sure I've tried everything and it is all good	Love love love their pastries. Everything we have bought so far from here has. Even delicious. From huge chocolate covered strawberries to the most delicate cheese danish I've ever had. Oh and a yummy salty focaccia bread. Location is great and shop is cute. Definitely a place to check out.	This bakery is well-known for its excellent pastries, sandwiches and desserts. The staff is very friendly, accommodating and personable. It has a nice atmosphere, and though it is primarily a takeout shop, there are a few indoor and outdoor tables available. This bakery is highly recommended.	The bakery is welcoming and the owner and staff are attentive and friendly.  There are tables inside and outside, and a chess board is available to play, too. The pastries are the main attraction here. They are delicious, but they are pricey. The waffles are good, but the portion is underwhelming for the cost. It's well worth a visit.	The staff is what makes this place, they are always so warm, welcoming and extremely knowledgeable. Beautiful and mouthwatering pastries, and they even serve breakfast and lunch! Definitely the go-to bakery for orders large and small orders. The atmosphere is friendly and the shop is very cute!
business	4lKF-M_3OLsk1usLPDJEFA	Have been here multiple times in hopes they get better but they don't. 3 out of 3 times messed my order up. Unfortunately they are closest Einstein's to me so in stuck. I have been to others and they are much faster and don't tend to mess up orders quite like this location.	I love to eat here! I get lunch here a lot. I like their chicken salad sandwiches and asiago cheese bagels with garden veggie cream cheese. They should keep it opened an hour longer, though. I know bakeries are all into fresh foods, but it closes before most get to eat dinner.	Nothing too spectacular - just another bagel place. I got the good grains bagel w / honey almond cream cheese (yummy) while others in my group got: the pizza bagel, thin bagel sandwiches, jalapeno w / plain cream cheese, spinach florentine, and some holiday one that was super sweet.Price wasn't anything too expensive.	Surprisingly good breakfast thin asparagus mushroom and egg white. Wraps not so much. Asiago toasted with veggie always decent. However please get a better system in place because I've never been able to get out of there in less than 15 min for a bagel!	The best Einstein location in Summerlin. Always in and out with ease and professionalism from the staff. I usually go on Mondays as they have a dozen bagels for $7! I have never ordered a specialty bagel sandwich but I would recommended for any bagel lover who wants a bulk deal.	I grab a cup from these guys every morning at this location. Great, friendly serviceThey have the best coffee, fresh, strong never burned. Jeanie is the one you want to help you when your there. She makes you feel at home.	This place is neat and clean and they have really good bagels. I also appreciate that they have a soda machine, given that I don't drink coffee. The staff is always friendly and helpful. I think it's extra nice that they will bring food to your table, even if it is merely a toasted bagel with cream cheese.	Waited like 20 minutes for a dozen bagels. Finally got home and the box with the bagels opened up from the bottom and all the bagels fell onto the driveway. Brought them back and was reluctantly given a refund and the doofus manager still tried to charge me for the cream cheese even though I had know bagels. Definitely won't be going back!	This place specializes in its bagels, the asiago cheese bagel being one of their top requests.  They are a good place to get bagels in bulk on the go. They also offer sandwiches, wraps, and coffee, but those aren't what they're primarily known for. Overall this is a solid place to grab a quick breakfast in the morning, or food on the go.	The bagels are really good, and the price isn't too expensive. The staff is generally friendly, helpful and professional, although the wait time can be as high as 15 to 20 minutes.	A great place for bagel lovers, remarkably affordable and decent in quality. Time management and order processing seem to fall a little below par, but the staff is friendly and helpful. Clean environment and overall recommended place.
business	5COCKqGYvt-Cf81GtL53XQ	Best breakfast in Akron. They care about quality and it shows in the food. The bar is designed like an island in your kitchen, makes you feel like you're at home. Wait staff is very professional and treat you like family. Owner is local and is very hands on; which shows in the food. Great place for lunch too!	Very busy on weekends, yet there is never too long of a wait. Service is great and the portions are very generous, especially the pancakes! (My favorite). The new interior is very nice and adds great atmosphere!	What a great place! Food is amazing and it's not just your ordinary breakfast or lunch spot. The food is unique and delicious. One of my favorite is the red eye hash! Fresh orange juice or a bloody mary, either way both delicious. The service is always great and the atmosphere is good.	One of our favorite breakfast spots. There's often a wait on the weekends but we've never waited more than 10 minutes. The host and wait staff and always friendly and accommodating and the food is consistently wonderful. I recommend the eggs Benedict with crabmeat or the red eye hash!	Great restaurant. More thank likely you'll find a wait, but it's worth it. Breakfast is amazing no matter what you get. If you get a lunch try the fries, double fried, dipped in white French dressing. Or order it as a side. You'll thank me later.	Fantastic Omlets wonderful friendly service. Killer spicy Brown potatoes and the special crooked river jams. One of my top breakfast stops. Relaxing with a cup of coffee and surfing the web. great way to start the day. And they have great sandwiches too for lunch.	A very good breakfast spot that has it's own take on popular dishes. The potatoes are especially tasty, though everyone at our table enjoyed their meals which ranged from pancakes, eggs and french toast. I also like the Akron themed pictures on the wall.	Great breakfast!!! Come early because lines start early. Bloody Mary's and mimosas. Fast and affordable. Great experience. Staff was friendly and the portions are huge!!! $- $$. Great price and an amazing brunch stop in Akron / Fairlawn my eggs and sausage were cooked perfectly!!!	This restaurant has consistently good food and service. It is an especially popular place for breakfast, though they serve a tasty lunch as well. The atmosphere inside is positive and the staff are always friendly. Expect a short wait on the weekends, as it can become overcrowded.	Really great restaurant for a nice breakfast! Fantastic and unique dishes that never fails to amaze customers, friendly and efficient staff, generous portions and great atmosphere. Excellent menu with a wide variety. Management is quality-minded. Overall a highly recommended place.	This restaurant is often very busy on weekends, but even so there usually isn't much of a wait. The staff is very friendly and provide great service.  The food is a bit unique, but all of it is very good,  particularly the eggs and pancakes.  They specialize in breakfast, but also offer sandwiches for lunch.  The portions are large for the price they charge. This place is highly recommended.
